model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.7567030784508441,0.7748410839745734,0.6018711018711018,0.6774901272487933,0.8210184518909351
DecisionTree,0.887233807789915,0.8685446009389671,0.8653846153846154,0.86696172871648,0.884370160041301
RandomForest,0.8944058258854684,0.8901484480431849,0.8570686070686071,0.8732953793194757,0.9630035799498885
